新闻id,时间,标题,内容,链接
0375c57480398e3c,2026-05-30 11:17:07,Sui主网故障修复，交易恢复正常,Sui已解决主网故障，交易现已恢复正常。据NS3报道，故障发生在昨日长期修复部署期间。由于随机性初始化失败和状态保存错误阻止了纪元推进，验证者应用了补丁。,https://www.binance.com/zh-CN/square/post/328580414887537
c6f780f9ac2b2432,2026-05-30 11:17:02,"Andreessen Horowitz购入226,121枚HYPE","Andreessen Horowitz关联地址今日购买了226,121枚HYPE，价值1,450万美元。据NS3报道，这笔交易引起了市场的关注。",https://www.binance.com/zh-CN/square/post/328580394617297
ff9f5a8e456fb3cf,2026-05-30 11:13:38,MYX Finance 将解锁 1806 万枚代币,据 ChainCatcher 报道，Web3 资产数据平台 RootData 的代币解锁数据显示，MYX Finance（MYX）将于东八区时间 6 月 6 日 0 时解锁约 1806 万枚代币。,https://www.binance.com/zh-CN/square/post/328579555634514
93281d4006513b2f,2026-05-30 11:09:06,BNB 突破 660 USDT，24 小时涨幅3.67%,据币安行情数据显示，BNB 突破 660 USDT，现报价 660 USDT，24 小时涨幅3.67%。,https://www.binance.com/zh-CN/square/post/328578443454066
015a1a441574ba7c,2026-05-30 10:44:30,Sui 主网恢复上线，修复底层漏洞,据 ChainCatcher 报道，Sui 在 X 平台宣布主网已恢复上线，交易正常进行。此前，由于验证节点重启时的随机数初始化程序问题，网络在部署长期修复方案期间暂停。验证节点已实施修复程序，解决了底层漏洞和受影响的 epoch，网络活动已恢复。,https://www.binance.com/zh-CN/square/post/328572399379265
38cb49f3d513d6ab,2026-05-30 10:43:45,Sui 主网恢复运行,Sui 主网已恢复运行，交易正常进行。据 Foresight News 报道，昨天长期修复方案部署期间触发了周期结束暂停。由于验证节点重启以部署新二进制文件，每个周期开始时运行的随机数初始化无法完成，因为它的法定人数阈值高于 Sui 共识。验证节点重启后，该故障状态的保存机制存在一个潜在漏洞，导致网络无法完成向下一个周期的过渡。 验证者已实施修复程序，该程序既解决了底层错误，也解决了受影响的时期，网络活动已恢复。后续将发布更详细的事件调查报告。,https://www.binance.com/zh-CN/square/post/328572211217938
256b5bd90b1cc604,2026-05-30 10:40:34,Arsenal胜巴黎圣日耳曼投注额达28.4万美元,"一个盈利超过380万美元的地址在Polymarket以42美分购买了价值284,000美元的Arsenal战胜巴黎圣日耳曼的投注。据NS3报道，欧冠冠军市场交易量已接近2.6亿美元。",https://www.binance.com/zh-CN/square/post/328571431837585
8f4ed2da733a559b,2026-05-30 10:23:36,阿森纳对阵巴黎圣日耳曼，欧冠决赛将打响,据Odaily星球日报报道，Polymarket 上“欧洲冠军联赛冠军”预测事件中，盈利超 380 万美元账号购入 28.4 万美元阿森纳战胜巴黎圣日耳曼，开仓均价 42¢。截至目前，该预测事件总交易额已接近 2.6 亿美元，巴黎圣日耳曼夺冠概率为 57%，阿森纳夺冠概率为 44%。2025-2026 赛季欧冠决赛将于东八区时间 5 月 31 日零点在匈牙利布达佩斯的普什卡什体育场打响，对阵双方是卫冕冠军巴黎圣日耳曼与时隔 20 年重返决赛的阿森纳。此前两队在欧冠比赛中 5 次交锋，“大巴黎”2 胜 2 平 1 负略占上风。,https://www.binance.com/zh-CN/square/post/328567260374098
c100ba10ca74bba0,2026-05-30 10:13:35,疑似 Dragonfly 地址将 1.37 亿枚 SKY 转入 CEX,。据 BlockBeats 链上侦探报道，该 SKY 仓位于 2021 年 8 月从 CEX 提出，当时价值 2045 万美元。,https://www.binance.com/zh-CN/square/post/328564798409201
0b497511b30574ff,2026-05-30 10:12:06,Strategy创始人称比特币优于传统资产,Strategy创始人Michael Saylor表示，比特币是一种比传统资产更强的资本保值形式。据NS3报道，Saylor建议需要流动性的人应先出售“半衰期”较短的资产，而不是比特币。,https://www.binance.com/zh-CN/square/post/328564433076722
1def63556f277533,2026-05-30 10:08:01,美国议员推出PARITY法案,美国众议员Steven Horsford、Max Miller、Suzan DelBene和Mike Carey推出了一项名为PARITY Act的两党加密税收立法。据NS3报道，Horsford和Miller表示，谈判进展顺利，预计今年年底前有望通过。,https://www.binance.com/zh-CN/square/post/328563431701090
17511edc2739cda5,2026-05-30 09:55:08,BNB 突破 650 USDT，24 小时涨幅2.05%,据币安行情数据显示，BNB 突破 650 USDT，现报价 650.340027 USDT，24 小时涨幅2.05%。,https://www.binance.com/zh-CN/square/post/328560264663858
0285c15b3fb25036,2026-05-30 09:40:17,CertiK与Forcerta将举办数字资产安全研讨会,CertiK宣布将于2026年6月5日在伊斯坦布尔与风险管理公司Forcerta联合举办一场仅限受邀参加的全天研讨会。据BeInCrypto报道，此次活动将在希尔顿伊斯坦布尔酒店举行，主题为“机构利益：数字资产的安全与合规”。研讨会将汇聚传统金融机构、家族办公室和金融领袖，深入探讨影响机构数字资产采用的安全与合规现实。,https://www.binance.com/zh-CN/square/post/328556617006849
1e40534449007d06,2026-05-30 09:33:46,HYPE、NEAR和ETH成加密市场焦点,HYPE、NEAR和ETH成为本周加密市场的焦点。据PANews报道，AI领域继Leopold之后又出现新股神Serenity。此外，美光、三星、SK海力士三大存储巨头市值突破万亿美元。SpaceX IPO概念股也提前爆发。,https://www.binance.com/zh-CN/square/post/328555015317265
9f0d308dc6fac937,2026-05-30 09:13:41,美国议员提出数字资产税收法案,据 ChainCatcher 报道，美国众议院筹款委员会主席 Jason Smith 表示，数字资产税收立法必须获得两党支持。随后，美国众议员 Steven Horsford、Max Miller、Suzan DelBene 和 Mike Carey 联合提出“数字资产保护、问责、监管、创新、税收与收益法案”（PARITY Act）。该法案旨在更新数字资产税收规则，为市场提供更明确的监管框架，同时加强投资者保护并防范市场操纵。议员 Steven Horsford 表示，法案将帮助普通投资者更安全地参与数字资产市场，并促进财富积累机会。Max Miller 则认为，美国现行税法已无法适应数字资产和现代金融科技的快速发展。,https://www.binance.com/zh-CN/square/post/328550080458257
8cb6df6b4e5fa5ea,2026-05-30 08:53:46,地缘政治 | 美国对伊朗实施新制裁,美国财政部 29 日宣布，作为“经济狂怒行动”的一部分，与伊朗相关的多个国家的个人和实体被纳入新的制裁名单。据Odaily星球日报报道，美国财政部称，外国资产控制办公室与美国商务部及联邦调查局洛杉矶分局协调，对一个位于伊朗的采购网络采取打击行动，该网络涉嫌“假冒身份和欺诈美国企业”。制裁对象包括 8 名个人和 5 个实体。,https://www.binance.com/zh-CN/square/post/328545181849154
9c9a372cc5365568,2026-05-30 08:43:45,ParaFi Capital 宣布多项人事变动,ParaFi Capital 宣布多项人事晋升和团队新成员加入。Adrian Uberto 晋升为总裁，继续担任合伙人兼首席运营官 (COO)；Anjan Vinod 晋升为合伙人。据 PANews 报道，Jeff Park 加入 ParaFi 担任合伙人兼投资组合经理，此前他曾在 ProCap Financial、Bitwise、Corbin Capital、Harvard Management Company 和 Morgan Stanley 担任投资和投资组合管理职务。,https://www.binance.com/zh-CN/square/post/328542722998658
7d4fde618170717b,2026-05-30 08:33:32,Sui 主网暂停用户交易,据 ChainCatcher 报道，Sui 在 X 平台表示，由于 epoch 变更期间出现问题，Sui 主网已停止接受用户交易。验证节点仍在运行并创建系统交易，但目前无法接受用户交易。Sui 核心团队正在调查此问题，如有更新将立即发布。,https://www.binance.com/zh-CN/square/post/328540212282946
5bd145a263c3dd48,2026-05-30 08:28:08,FBI 缴获超80亿美元加密货币,FBI 缴获了价值超过80亿美元的加密货币，并逮捕了近300名嫌疑人。据 NS3 报道，此次行动针对在缅甸、柬埔寨、泰国和阿联酋运营的诈骗团伙。FBI 表示，这是美国政府历史上最大的一次加密货币没收行动。,https://www.binance.com/zh-CN/square/post/328538884402497
7459e60c3ea60d0c,2026-05-30 08:20:14,贵金属 | 全球最大黄金ETF持仓减少,据金十数据报道，全球最大黄金ETF--SPDR Gold Trust持仓较上日减少3.426吨，当前持仓量为1029.142吨。,https://www.binance.com/zh-CN/square/post/328536943222289
f9ac4e1bb2cea634,2026-05-30 08:19:51,鲸鱼钱包持有以太坊达九周高点,鲸鱼钱包持有至少10万枚ETH，目前控制着22.03%的以太坊总供应量。据NS3报道，Santiment数据显示，这些钱包共持有1741万枚ETH，达到九周以来的最高水平。,https://www.binance.com/zh-CN/square/post/328536848258850
67bdec827a5b75a6,2026-05-30 08:19:45,加密恐惧与贪婪指数上升至33,CoinMarketCap的加密恐惧与贪婪指数从昨日上升一点，达到33。据NS3报道，该指数在0到100的范围内仍处于恐惧阶段。,https://www.binance.com/zh-CN/square/post/328536823106066
4b69c10948e6b87b,2026-05-30 08:03:50,Solana交易透明度问题引关注,Solana交易市场被Prop AMM私有做市商垄断。据PANews报道，Jupiter路由的九成订单流向暗池，导致交易透明度下降。这一现象引发了对DeFi初心的质疑。,https://www.binance.com/zh-CN/square/post/328532910941890
622b0eebbfb716fc,2026-05-30 08:03:40,特朗普政府讨论与伊朗协议,据Odaily星球日报报道，美国高级政府官员透露，特朗普在战情室的会议持续约两个小时，但并未就与伊朗达成任何新协议作出决定。特朗普政府方面表示，他们即将达成协议，但仍有某些事项正在商讨之中，其中包括解冻伊朗资金事宜。,https://www.binance.com/zh-CN/square/post/328532872185873
565bc644176745da,2026-05-30 07:51:40,区块链与加密投资Q1降至40亿美元,Galaxy表示，区块链和加密货币的风险投资在第一季度总计约40亿美元，较上一季度下降近50%。据NS3报道，交易量下降了16%，至355笔。较小的种子和早期阶段投资有所增加，而大型后期阶段的融资未能重现。,https://www.binance.com/zh-CN/square/post/328529922135393
4b831c53ceef1053,2026-05-30 07:51:34,Aave计划在Arc上推出V4协议,Aave计划在Circle的专有区块链Arc上推出其V4协议。据NS3报道，Circle首席执行官Jeremy Allaire表示，他对Aave V4在Arc生态系统中的推出感到兴奋。,https://www.binance.com/zh-CN/square/post/328529896726242
625cf11b467b1d7a,2026-05-30 07:51:29,机构投资者持有约388万枚BTC,据 NS3 报道，Crypto 分析师 Cam 表示，机构投资者目前持有约388万枚BTC，占比特币2100万供应量的18.5%。BlackRock 的现货比特币ETF IBIT 是最大的ETF持有者，持有约81.1万枚BTC。,https://www.binance.com/zh-CN/square/post/328529875040818
c4dbb2e529b533a2,2026-05-30 07:48:02,CME Group 推出加密货币期货全天候交易,CME Group 宣布其加密货币期货和期权产品将支持全天候交易。据 NS3 报道，此举取消了此前交易时间的限制，涵盖了 Bitcoin 和 Ethereum 合约，为交易者提供持续的市场接触机会。,https://www.binance.com/zh-CN/square/post/328529030913138
0d1fc3bcdf2b7534,2026-05-30 07:23:52,USDC 财政部铸造 2.5 亿 USDC,Whale Alert 报告称，USDC 财政部铸造了 2.5 亿 USDC。据 NS3 报道，这一铸造活动引起了市场的关注。,https://www.binance.com/zh-CN/square/post/328523091197953
e91f764a316d27f7,2026-05-30 07:10:31,三大RWA代币走势分化,Stellar（XLM）、Chainlink（LINK）和Ondo（ONDO）三大RWA代币在2026年6月呈现不同走势。据BeInCrypto报道，XLM确认突破，短期看涨，关键支撑位为0.20美元；LINK则在图表上呈现下行趋势，但链上数据显示鲸鱼正在积累，短期看跌但结构性看涨；ONDO在5月强劲上涨后，结构较弱，需关注0.37美元支撑位。,https://www.binance.com/zh-CN/square/post/328519808741874
3b8e753f4fc3a7c1,2026-05-30 06:31:08,Cardano领袖支持新加坡峰会提案,Cardano创始人Charles Hoskinson和Cardano基金会CEO Frederik Gregaard在5月29日投票截止前公开支持修订后的Cardano峰会2026提案，呼吁代表批准提取780万ADA（约200万美元）用于新加坡活动。据BeInCrypto报道，该提案需获得约66.67%的支持率，目前支持率接近65%。此次峰会计划于10月5日至6日在新加坡举行，预算削减22%，并引入独立审计和公共支出仪表板等新规则。,https://www.binance.com/zh-CN/square/post/328510131877874
39ffca34f1f7e242,2026-05-30 05:42:11,Coinkite发布Coldcard MK5硬件钱包,Coinkite发布了Coldcard MK5，这是自2022年MK4推出以来的首次MK硬件升级。据NS3报道，这款仅支持Bitcoin的硬件钱包新增了1.54英寸的Gorilla Glass显示屏、重新设计的按钮、新的机身以及更强的NFC支持。,https://www.binance.com/zh-CN/square/post/328498099166897
333533a214a805a4,2026-05-30 05:10:19,特朗普乐观言论助推市场反弹,美国总统特朗普发表关于伊朗的乐观言论，帮助市场抹去早盘损失。据CoinDesk报道，特朗普的表态提振了投资者信心，推动股市回升。,https://www.binance.com/zh-CN/square/post/328490267221778
4cf94fd63d83a593,2026-05-30 04:34:38,Celsius创始人申请撤销12年刑期,Celsius创始人Alex Mashinsky向纽约南区地方法院提交了一份手写动议，要求撤销其12年刑期。据NS3报道，该动议指出辩护律师无效，并提到Mukasey & Young LLP与FTX创始人Sam Bankman-Fried的关联冲突。,https://www.binance.com/zh-CN/square/post/328481499296337
fab439249fa8b6b1,2026-05-30 03:58:40,Robinhood股价上涨17%，推出AI交易功能,Robinhood股价在过去30天内上涨了17%，而Bitcoin价格则有所下跌。据NS3报道，Robinhood宣布推出AI功能，允许客户使用AI代理进行股票交易和信用卡购买。Google Finance显示，HOOD股价当天上涨8.35%，接近91.92美元。,https://www.binance.com/zh-CN/square/post/328472658308594
b533cd9c4369c4fc,2026-05-30 03:40:55,贵金属 | COMEX黄金净多头头寸增加,"据金十数据报道，美国商品期货交易委员会（CFTC）数据显示，截至5月26日当周，COMEX黄金投机者净多头头寸增加2,544份合约，达到96,931份。",https://www.binance.com/zh-CN/square/post/328468295721042
5c9a115162d135bf,2026-05-30 03:40:48,贵金属 | COMEX白银净多头头寸减少,"据金十数据报道，美国商品期货交易委员会（CFTC）数据显示，截至5月26日当周，COMEX白银投机者净多头头寸减少1,517手，降至10,244手。",https://www.binance.com/zh-CN/square/post/328468271029746
85d3faf140398eaf,2026-05-30 03:39:35,联想Q4营收创纪录增长109%,联想在2026年5月实现了109%的增长，Q4营收达到创纪录的216亿美元。据NS3报道，AI相关收入同比增长84%，占季度总销售额的38%。CEO杨元庆设定了两年内实现年营收1000亿美元的目标。,https://www.binance.com/zh-CN/square/post/328467971380754
3c7690d0b07cc954,2026-05-30 03:34:11,SEC主席对Clarity法案通过充满信心,SEC主席Paul Atkins表示，他对国会通过Clarity法案以及特朗普总统签署该法案充满信心。据NS3报道，Atkins称该法案将为监管机构提供加密市场监管的法律依据。该法案已通过参议院银行委员会，但文章指出，若无两党支持，仍可能面临挑战。,https://www.binance.com/zh-CN/square/post/328466644495170
d7af7251b6d48221,2026-05-30 03:29:54,美国参议员警告Clarity法案延迟风险,美国参议员Cynthia Lummis警告称，如果国会未能在本届会议通过Clarity法案，下一次机会可能要等到2030年。据NS3报道，她表示，延迟将使开发者面临法律风险，并限制执法工具。,https://www.binance.com/zh-CN/square/post/328465591397826
6f6e097ee881d3e9,2026-05-30 03:17:23,美国太空军与SpaceX签署41.6亿美元合同,据金十数据报道，美国太空军与SpaceX签署了一项价值41.6亿美元的合同，旨在开展天基机载移动目标指示项目。,https://www.binance.com/zh-CN/square/post/328462513633617
44cbfe25e4181b05,2026-05-30 03:11:52,Sui区块链因软件问题暂停出块,Sui的layer-1区块链在周五暂停出块超过三个半小时。据NS3报道，Sui团队将周四和周五的暂停归因于1.72版本与地址余额和Gas收费逻辑的交互。Sui团队表示，目前大多数验证者已实施长期软件修复。,https://www.binance.com/zh-CN/square/post/328461159207457
a92b1dc27deec56a,2026-05-30 02:53:06,BNB 跌破 640 USDT，24 小时跌幅0.39%,据币安行情数据显示，BNB 跌破 640 USDT，现报价 639.25 USDT，24 小时跌幅0.39%。,https://www.binance.com/zh-CN/square/post/328456547379810
a9e837f9b88d217a,2026-05-30 02:28:54,Jamie Dimon反对Clarity Act,摩根大通（JPMorgan）首席执行官Jamie Dimon表示，摩根大通及其他银行计划反对目前形式的Clarity Act。据NS3报道，Dimon批评稳定币奖励，并声称Brian Armstrong正在华盛顿花费数亿美元以推动该立法的通过。,https://www.binance.com/zh-CN/square/post/328450599112370
1eefc6b1511f5716,2026-05-30 02:13:34,地缘政治 | 美军警告将打击霍尔木兹海峡布雷船只,据 ChainCatcher 报道，美国中央司令部警告称，将在霍尔木兹海峡附近开展军事行动，并以自卫名义打击参与或支持布设水雷的船只。美军表示，伊朗仍在试图阻碍霍尔木兹海峡的扫雷行动和安全通航，任何被发现参与布雷活动的船只都可能成为打击目标。截至 5 月 29 日，美军已迫使 115 艘商业船只改变航向。,https://www.binance.com/zh-CN/square/post/328446831524161
a40ba412db3d60ac,2026-05-30 02:09:44,Bitcoin Depot因ATM诈骗被起诉,Karen和Robert Lacey对Bitcoin Depot提起联邦集体诉讼，涉及7.6万美元的比特币ATM诈骗。据NS3报道，投诉称诈骗者假冒Norton客服和FBI特工。Bitcoin Depot于2026年5月18日申请自愿破产，并关闭了北美超过9000台ATM。,https://www.binance.com/zh-CN/square/post/328445888995409
c2e30410542b12d3,2026-05-30 02:04:00,Bitcoin重回74000美元上方,Bitcoin价格回升至74000美元以上，交易价格接近74161美元，24小时内上涨约1.1%。据NS3报道，特朗普表示一项草案框架已在讨论中，但伊朗官员否认了其中的几个核心主张。《纽约时报》报道称，该草案框架包括一个3000亿美元的伊朗重建基金。,https://www.binance.com/zh-CN/square/post/328444479575633
85ffc72cdf3db6e6,2026-05-30 02:03:34,英国央行行长：美伊停火协议仍存不确定性,据金十数据引述英国金融时报报道，英国央行行长贝利警告称，美以与伊朗之间的战争若能实现60天的停火，仍会带来不确定性，而且这也不会立即为降息铺平道路。贝利表示，一项已接近完成的协议并不会改变他对于这场冲突给英国经济带来的风险的基本判断。而美国官员此前曾表示，该协议已接近达成。贝利说：“停火60天或许会有所帮助，但这并不能彻底解决这个问题。”他还表示，这样的协议“仍会带来不确定性，让人不清楚60天后会发生什么情况”。贝利还表示，他目前并未完全放弃一种假设情况，即能源价格迅速回落但不会对基础通胀产生影响。但对于这种情况要促使央行降息而言，“你必须要有更强的信心”认为这种冲击不会持续太久。,https://www.binance.com/zh-CN/square/post/328444372538209
4c3798e4585c69b9,2026-05-30 01:41:27,研究发现前沿AI模型在事实核查中意见不一,Lenz Research 的一项研究发现，五个前沿AI模型在1000个现实世界的事实核查声明中有67%的意见不一致。据NS3报道，该研究报告的Krippendorff's alpha系数为0.639，低于研究中引用的0.8的可靠性阈值。,https://www.binance.com/zh-CN/square/post/328438937106705
596b322393fd39e1,2026-05-30 01:33:41,前Celsius CEO申请撤销12年刑期，指控FTX前CEO操纵市场,据Cointelegraph报道，已倒闭的加密货币借贷平台Celsius前CEO Alex Mashinsky在纽约法院申请撤销其12年刑期，称其辩护律师无效并指控证据不当。 Mashinsky在文件中指控前FTX CEO Sam Bankman-Fried试图“摧毁Celsius”，并提供与Celsius前首席营收官Roni Cohen-Pavon的短信，称其试图“恶意收购”平台。 Celsius于2022年申请破产，Mashinsky和Cohen-Pavon于2023年7月被控欺诈和市场操纵，后均认罪。Cohen-Pavon因协助政府被判服刑期满。 尽管Mashinsky申请撤销刑期，他已被判支付4800万美元罚款，并与美国联邦贸易委员会达成1000万美元和解。Cohen-Pavon同意支付超过100万美元及4万美元罚款。,https://www.binance.com/zh-CN/square/post/328437026912690
3ffe47a7ffb0ba2a,2026-05-30 01:23:33,美联储戴利：物价稳定重要但不应损害经济,据 ChainCatcher 报道，美联储戴利表示，恢复物价稳定至关重要，但这一目标不能以损害经济为代价。,https://www.binance.com/zh-CN/square/post/328434537278945
47ca839b996c4a6d,2026-05-30 00:53:39,SEC起诉Nathan Fuller涉嫌AI加密骗局,美国证券交易委员会（SEC）宣布起诉得州居民Nathan Fuller，指控其通过虚假“AI加密交易机器人”项目非法募集约1230万美元。据Odaily星球日报报道，SEC指出，Fuller自2022年10月至2024年中期期间，通过Privvy Investments LLC及Gateway Digital Investments名义出售加密投资合资权益，承诺投资者可在21至45天内获得40%至100%以上“保证收益”。SEC称，Fuller虚假宣称投资资金受到FDIC保险等保护，实际其交易机器人未按宣传运行，并挪用620万美元用于个人开支，使用约550万美元进行“庞氏式支付”。SEC已在得州南区联邦法院提起诉讼，指控Fuller涉嫌违反证券发行及反欺诈相关法律，并寻求永久禁令、非法所得追缴及民事罚款。,https://www.binance.com/zh-CN/square/post/328427190632225
47985de950e6859a,2026-05-30 00:33:33,美国货币市场基金规模创新高,由于美联储货币政策路径的不确定性刺激对类现金资产的需求，投资者将美国货币市场基金的总规模推高至创纪录的 8.281 万亿美元。据Odaily星球日报报道，根据 Crane Data 最新数据，截至 5 月 28 日当周，约有 660 亿美元涌入货币市场基金行业。今年以来，货币市场基金累计已吸引约 1720 亿美元资金。,https://www.binance.com/zh-CN/square/post/328422251323394
5771534b18d30e3b,2026-05-30 00:28:58,交易员关闭比特币空头获利180万美元,交易员Evaded关闭了一个30倍杠杆的比特币空头头寸，获利180万美元。据NS3报道，Evaded还开设了一个价值约65万美元的10倍杠杆Oracle Corporation多头头寸。,https://www.binance.com/zh-CN/square/post/328421123702273
79caf2f214d09122,2026-05-30 00:25:30,Wintermute为预测市场提供流动性,Wintermute确认正在为主要预测市场平台的事件合约提供双向流动性。据 NS3 报道，这家总部位于伦敦的公司年交易量超过3.5万亿美元。知情人士透露，这些平台包括Polymarket和Kalshi。此外，美国商品期货交易委员会（CFTC）周五发布命令，允许Kalshi提供与比特币价格挂钩的美国永久期货。,https://www.binance.com/zh-CN/square/post/328420272084161
f9bc7a6b5451b167,2026-05-30 00:25:15,Michael Saylor称CFTC指引推动比特币市场,Michael Saylor表示，CFTC的指引通过24/7交易和监管访问推动了比特币资本市场。据NS3报道，Saylor称这些措施包括BTC抵押品、永续期货和期权。他认为这些措施将有利于BTC持有者，并支持Strategy的比特币策略。,https://www.binance.com/zh-CN/square/post/328420209509441
0e671bf1f9042f5f,2026-05-30 00:23:37,HYPE 财库公司浮盈超 10 亿美元,据Odaily星球日报报道，随着 HYPE 续创历史新高，目前 HYPE 财库公司 HypeStrat 持仓浮盈已超 10 亿美元，为所有加密财库公司中最高。而以太坊财库公司 BitMine（BMNR）浮亏超过 80 亿美元，在所有加密财库公司中亏损最多。,https://www.binance.com/zh-CN/square/post/328419810023026
0ed593828dc4211b,2026-05-30 00:19:57,戴尔股价因AI与特朗普推动上涨138%,戴尔科技（Dell Technologies）股价因AI服务器收入激增和特朗普的支持而上涨138%。据 BeInCrypto 报道，戴尔在2027财年第一季度的收入达到438亿美元，远超市场预期的348.1亿美元，调整后每股收益为4.86美元。特朗普于5月8日呼吁投资者购买戴尔股票，随后戴尔获得了97亿美元的美国五角大楼合同。然而，市场信号显示，股价可能面临回调风险，机构资金流出和期权市场的变化暗示投资者正在对冲风险。,https://www.binance.com/zh-CN/square/post/328418907494945
263ac3c473d91f50,2026-05-30 00:08:13,Western Union 推出 USDPT 并计划扩展市场,Western Union 于 2026 年 5 月通过 Anchorage Digital Bank 在 Solana 区块链上推出 USDPT。据 NS3 报道，该公司还推出了一个数字资产网络，以连接加密钱包和交易所到其支付网络。预计将在多个市场推出面向消费者的产品。根据世界银行的追踪数据，平均汇款成本超过 6%，而 Western Union 报告称其 2026 年第一季度收入有所下降。,https://www.binance.com/zh-CN/square/post/328416025366785
e2d9ba17d7ee948f,2026-05-30 00:08:03,UBS分析师上调美光目标价至1625美元,UBS分析师Timothy Arcuri将美光的目标价从535美元上调至1625美元。据NS3报道，此次调整是在美光于2026年5月26日市值突破1万亿美元后进行的。,https://www.binance.com/zh-CN/square/post/328415982450961
900c7117dac10292,2026-05-30 00:03:47,地缘政治 | 美SEC主席推动加密监管改革,美 SEC 主席 Paul S. Atkins 在 2026 年里根国家经济论坛上表示，U.S. Securities and Exchange Commission 正推进“SEC 新时代”监管改革，重点包括推动数字资产监管现代化。据Odaily星球日报报道，Paul Atkins 批评此前 SEC 对数字资产行业采取“监管敌意”，称大量加密创新因此被迫迁往海外。他表示在特朗普政府支持下，SEC 已启动“Project Crypto”，并与美国商品期货交易委员会展开联合合作，以推动市场基础设施上链与加密监管协调化。此外，Paul Atkins 强调 SEC 将减少“过度披露”与监管负担，推动“Make IPOs Great Again”改革。,https://www.binance.com/zh-CN/square/post/328414933650609
